,NSSCP-32-mean,NSSCP-32-std,NSSC-32-mean,NSSC-32-std
14,0.7818860290626937,0.7094282824147725,0.15217770198824634,0.11527202071507138
15,0.7229707487467842,0.6280448745710513,0.15609081680351164,0.11544564831943066
16,0.6817111567671882,0.5638244480199324,0.1588363084751506,0.11474380392316162
17,0.6493263189165143,0.5171557533136046,0.16154060349981272,0.11411100714085722
18,0.6275822445760798,0.49288062813779043,0.16332445318539643,0.11247258320658975
19,0.6050891419868393,0.4643140243959466,0.16476016839793037,0.11048452462703884
20,0.5837685386782786,0.4354507541257188,0.16716064047185172,0.10905273292450626
21,0.5634943085863449,0.40547634795111304,0.16871244701425805,0.1068722563555528
22,0.542673069078413,0.3815446096108512,0.17063716213161007,0.1049754642514887
23,0.5265673532124272,0.36657385499557954,0.1720915746331838,0.10338570538615478
24,0.5133048594485107,0.3533724104358493,0.1706071833825467,0.10140046902179566
25,0.5016202030285498,0.34325594687914335,0.1692602455996956,0.09962924557906132
26,0.4953044274417952,0.33769832348211365,0.16886407727043307,0.09819158899400887
27,0.4890434634441807,0.331049769975327,0.1690202333557751,0.09708546588533387
28,0.48449938389487174,0.3237297877477922,0.17093273765624786,0.09654665911866983
29,0.4801585024627769,0.3170549847188156,0.17197711313442343,0.09628338472610005
30,0.4716108568731866,0.31022044317433956,0.1729432767488138,0.0961130066459702
31,0.460911823349155,0.29702658319663194,0.17458015600636573,0.0967195412705003
32,0.4490135614547951,0.28555636245507626,0.17723691712058814,0.09816392618696611
33,0.4362728802047619,0.2753806361223051,0.1796141688238853,0.09958546731890242
34,0.4268005791368572,0.2696267268496547,0.1818404468141015,0.10068743060431101
35,0.42282293964155643,0.2755350979124137,0.18273576516691076,0.10117633396386336
36,0.4183252327285564,0.28075074017429746,0.18271585776029786,0.1003764691133352
37,0.4153615041815701,0.285154718298354,0.18199901732545895,0.09859447190729444
38,0.41577592050516166,0.2897259686302746,0.18170661039456346,0.09704498931823498
39,0.42001635376389423,0.2934085144385503,0.18138084107941294,0.0970201318068041
40,0.42290329552376,0.2924002022897561,0.17987999789662482,0.09721216453667604
41,0.42679506963755304,0.291679277410575,0.17847879389619042,0.09762633694096401
42,0.43108238729904325,0.2930082152724778,0.17803894656917804,0.09771180431411466
43,0.43399430863520727,0.2942223312316287,0.17850002945004356,0.09652173298915963
44,0.43411355426992326,0.2939320884513346,0.17813470007662752,0.09522192215863427
45,0.4285360577393252,0.2856605499052579,0.1779913416795862,0.09484566007139401
46,0.4238664469277145,0.277808085851971,0.17778606615717174,0.09527093523089669
47,0.4210502081560001,0.2729713485793627,0.17898883558223797,0.09765334284739544
48,0.42368001901525587,0.2758174439479351,0.18095756919275788,0.10007829602340787
49,0.4259163998913771,0.2793191846294369,0.1823189948911865,0.10174721029449063
50,0.4247965192933178,0.278078102970621,0.18352466257586278,0.10295405152385277
51,0.4175821045641975,0.2667854528391635,0.18422839275684957,0.1039806037135968
52,0.41092575007926424,0.25604475210734384,0.18462009541918262,0.105093867657465
53,0.40545772048051626,0.24729386129654707,0.18400238037803396,0.10530894543798563
54,0.4008715456986756,0.2410000176997631,0.1829878337691811,0.1055152645903714
55,0.3959136904169598,0.2345367008167473,0.18187019140386107,0.10665383678311847
56,0.39262201405358577,0.22794742671002236,0.18116042137053315,0.10748490121735058
57,0.39037770967514734,0.22248629181801244,0.1821337650886766,0.10848389458928165
58,0.388263209975584,0.21748606118662062,0.1844935807790561,0.10909238000713162
59,0.39010970691582014,0.2169135997957633,0.18687796515338093,0.11076134061369992
60,0.39357673068060167,0.217839761852807,0.18846661435698547,0.112646649593984
61,0.39786046548512344,0.2201130343322697,0.1895923111666911,0.11448543610079247
62,0.4012072378251946,0.22124043370170843,0.1922352677099266,0.12031492225747757
63,0.402545057561528,0.21763753340389275,0.1956226775635323,0.12697204740502574
64,0.402974533109186,0.21505741824246236,0.20022181400937128,0.13400476743956705
65,0.4022693909506908,0.21571933234855334,0.20480486470707016,0.14218221314580395
66,0.40174772697794264,0.21674063385462536,0.20994685379661085,0.15372751562143902
67,0.4009767519674373,0.21989406922410712,0.2151769541244954,0.1654077234490415
68,0.40230321979064126,0.2247184836868788,0.22047199004120133,0.17607304581156774
69,0.4054181989556851,0.23061740985163667,0.2224108150878106,0.18301495351909544
70,0.41030147080581053,0.23553503467508993,0.2234668186432576,0.18769550902256754
71,0.42205839542193874,0.2496246054241347,0.22540079520108827,0.1928826958529689
72,0.4380136923220522,0.27192061592720723,0.22767377301729497,0.19827044301616434
73,0.4537082626430509,0.29473482248953714,0.22883123797924013,0.193520510470355
